Code,Libellé,population,Indic1,Indic3,Indic4,Indic5,Indic6,Indic7,Indic8,Indic9,Indic10,Indic11,Indic12,Indic13,Indic14,Indic15,Indic16,Indic17
11411,Villanière,146,19.46,173713,19600,94.3,14.3,32.1,20.4,23.3,127,9.153333333,3,15,4.5,12.5,19.6,
11412,Villardebelle,57,4.26,58948,,108,20,,18.8,25,225,17.53,3,30,0,0,16,
11413,Villardonnel,517,30.07,252687,19640,94.9,9.3,39.2,32.5,22.3,152,6.701666667,7,7,6,3.6,13.9,
11414,Villar-en-Val,26,2.1,31248,,65,0,100,38.1,33.3,333,6.255,7,30,0,14.7,0,
11415,Villar-Saint-Anselme,122,21.26,72919,22270,92.7,9.1,23.8,21.3,30.9,93,6.371666667,3,15,4.4,8.8,12.3,
11416,Villarzel-Cabardès,271,40.28,161632,21190,83.5,4.6,0,29.4,28.9,67,2.346666667,3,15,8.8,6.7,11.6,
11417,Villarzel-du-Razès,97,7.78,77578,,88,0,0,42.2,21.7,193,9.886666667,3,15,11.1,0,11.6,
11418,Villasavary,1 251,36.64,836790,20630,91.3,5.8,50,29.7,25.9,80,7.116666667,3,15,7.1,13.1,11.1,7.38
11419,Villautou,65,10.72,39427,,92,40,100,25,11.4,44,10.79333333,15,15,10.9,10.9,16.1,
11420,Villebazy,142,11.41,103102,20490,88.3,0,100,24.3,20,116,4.468333333,3,15,0,0,15.9,
11421,Villedaigne,555,222.49,319738,17030,93.2,13,27.9,17.8,33.9,137,3.408333333,7,15,1.3,15.3,17.7,14.84
11422,Villedubert,358,113.49,294346,22520,99.9,10,16.7,28.8,24.3,157,4.825,3,7,10.6,3.5,7.5,1.29
11423,Villefloure,163,9.35,98789,16900,94.3,14.3,0,37.7,22.8,50,7.66,15,30,8.6,8.6,12.2,
11424,Villefort,86,6.71,64051,,105.7,14.3,,19.7,13.6,70,4.328333333,7,7,0,8.3,9.3,
11425,Villegailhenc,1 722,346.86,1107730,20580,92.6,11.8,29.5,24.7,24.4,93,2.883333333,3,15,4.9,11.3,11.8,5.83
11426,Villegly,1 232,121.67,703015,20790,90.4,3,50.3,20.8,22.5,93,4.115,3,15,5.3,7.8,12.5,8.71
11427,Villelongue-d'Aude,310,22.81,200130,18350,96.2,10.4,20,29.4,26.1,167,10.41666667,3,15,7.7,5.8,17.9,
11428,Villemagne,250,23.11,176541,19620,95.7,8.7,33.3,23,24.5,117,7.95,3,30,4.8,11.9,15.3,
11429,Villemoustaussou,4 558,376.97,3499754,23260,95.9,11.8,29.7,31.7,22.1,88,3.231666667,3,7,8.5,9.7,11.7,6.45
11430,Villeneuve-la-Comptal,1 434,91.39,915743,22330,98.9,7.5,22.7,28.6,23.5,79,6.678333333,3,7,11.7,13.1,10.5,4.86
11431,Villeneuve-les-Corbières,259,10.32,181579,15550,88.7,8.7,25,13.4,35.6,128,4.586666667,3,30,0,16.3,9,
